district,sum
California,16716706
Texas,9208281
New York,8958085
Nordrhein-Westfalen,8937547
Ontario,6583612
Illinois,3737498
Berliini,3386667
Arizona,3178903
Florida,3151408
Kiova,2928000
Donetsk,2736000
Baijeri,2513988
Dnipropetrovsk,2352000
Ohio,2218030
Pennsylvania,2062462
Baden-Wï¿½rttemberg,2062370
Virginia,1880264
Michigan,1870428
Colorado,1851149
Quï¿½bec,1742712
Hamburg,1704735
Horad Minsk,1674000
Tennessee,1658222
British Colombia,1640025
North Carolina,1625851
Wien,1608144
Niedersachsen,1543380
Harkova,1500000
Massachusetts,1399381
Alberta,1384388
Hessen,1363151
Saksi,1333568
Indiana,1329770
Washington,1205688
Hlavnï¿½ mesto Praha,1181126
Louisiana,1172322
Nevada,1169827
Georgia,1148875
Zaporizzja,1147000
Odesa,1101000
Missouri,1054602
Lugansk,1033000
Wisconsin,996788
Oklahoma,993374
Krim,961000
Oregon,803938
Alabama,801519
Lviv,788000
New Jersey,783391
Riika,764328
Kansas,762607
Minnesota,669769
Bremen,663065
Rheinland-Pfalz,654824
Maryland,651154
Manitoba,618477
Nebraska,615588
Connecticut,609087
Gomel,585000
Brest,583000
Vilna,577969
Mogiljov,577000
District of Columbia,572059
Vitebsk,570000
Pultava,552000
Kentucky,516743
Mykolajiv,508000
Utah,497658
Anhalt Sachsen,489433
Sumy,480000
New Mexico,448607
Schleswig-Holstein,447121
Severnï¿½ Morava,422743
Iowa,417696
Thï¿½ringen,415764
Kaunas,412639
Grodno,403000
Tï¿½erkasy,399000
Vinnytsja,391000
Zytomyr,387000
Jiznï¿½ Morava,381862
Saskatchewan,374047
Hawaii,371657
Hmelnytskyi,371000
Kirovograd,364000
Herson,353000
Minsk,349000
Tï¿½ernigiv,313000
Mecklenburg-Vorpomme,306157
Alaska,260283
Tï¿½ernivtsi,259000
Rivne,245000
Steiermark,240967
Brandenburg,239877
Ivano-Frankivsk,237000
Ternopil,236000
Nova Scotia,228643
Volynia,217000
Taka-Karpatia,216000
South Carolina,205341
Klaipeda,202451
Severnï¿½ Cechy,194646
Vï¿½chodnï¿½ Cechy,189389
North Austria,188022
Idaho,185787
Mississippi,184256
Saarland,183836
Arkansas,183133
Rhode Island,173618
Zapadnï¿½ Cechy,166759
ï¿½iauliai,146563
Salzburg,144247
Panevezys,133695
South Dakota,123975
Daugavpils,114829
Tiroli,111752
New Hampshire,107006
Newfoundland,101936
Jiznï¿½ Cechy,98186
Montana,92988
Kï¿½rnten,91141
Liepaja,89439
